date,PESL12
2022,1.77
2021,0.63
2020,1.63
2019,1.17
2018,1.54
2017,2.01
2016,1.02
2015,1.02
2014,0.89
2013,1.56
2012,1.42
2011,1.48
2010,1.4
2009,0.8
2008,1.13
2007,1.1
2006,1.22
2005,1.21
2004,2.69
2003,1.23
2002,1.31
2001,1.4
2000,2.38
1999,1.14
1998,0.76
1997,1.02
1996,0.88
1995,0.87
1994,0.93
1993,1.25
1992,0.93
1991,1.42
1990,1.13
1989,1.13
1988,1.08
1987,1.17
1986,1.02
1985,1.08
1984,0.88
1983,1.06
1982,0.91
1981,1.63
1980,1.17
1979,1.08
1978,0.83
1977,0.64
1976,0.87
1975,1.04
1974,0.97
1973,1.18
1972,1.01
1971,1.29
1970,1.56
1969,0.85
1968,1.29
1967,1.5
1966,1.35
1965,1.37
1964,1.28
1963,1.46
1962,1.88
1961,1.83
1960,1.3
1959,1.45
1958,1.78
1957,1.49
1956,2.93
